Temperature;PM2.5;PM10
6.9;23.8;35.9
6.9;23.8;35.9
6.8;23.4;35.7
6.8;23.1;35.6
6.8;23.3;35.7
6.8;23.7;35.8
6.8;23.6;35.8
6.9;23.7;35.8
6.9;23.8;35.9
6.9;30.6;38.7
6.9;30.6;38.7
7;30.5;38.7
7;30.4;38.6
6.9;30.3;38.6
7;30.3;38.6
7;30;38.4
6.9;30.2;38.5
6.9;30.3;38.5
6.8;30.3;38.5
7;30;38.4
7.1;30.1;38.5
7;25.8;36.3
6.9;25.8;36.3
6.9;26;36.4
6.8;26.1;36.5
6.8;26.3;36.5
6.8;26.5;36.6
6.8;26.2;36.5
6.9;20.6;22.7
6.9;19;20.2
6.9;19;20.2
6.9;18.7;19.9
6.8;19;20.2
6.8;19.8;21
6.8;19.5;20.7
6.8;19.2;20.4
6.7;19.1;20.3
6.6;18.9;20.1
6.6;18.7;19.9
6.6;11.7;12.6
6.5;11.6;12.5
6.4;16.2;17.3
6.5;16.4;17.5
6.6;16.2;17.3
6.4;16.3;17.4
6.5;16.6;17.7
6.4;16.3;17.4
6.4;16.4;17.5
6.4;16.4;17.5
6.3;16.5;17.6
6.4;16.5;17.6
6.4;16.6;17.7
6.4;16.5;17.6
6.4;16.5;17.6
6.3;16.7;17.8
6.3;17.8;19
6.3;17.6;18.8
6.2;17.6;18.8
6.2;17.9;19.1
6.3;18.4;19.6
6.3;18.6;19.8
6.3;18.8;20
6.2;18.6;19.8
6.1;17.8;19
6.1;17.7;18.9
6.1;17.8;19
6.3;18;19.2
6.2;17.9;19.1
6.2;17.7;18.9
6.1;17.6;18.8
6.1;17.6;18.8
6.2;13.3;14.3
6.2;13;13.9
6.1;13.2;14.1
6.1;13;13.9
6.1;12.9;13.8
6.2;12.8;13.7
6;12.6;13.5
6;12.5;13.4
6;12.7;13.6
6;12.6;13.5
6;12.5;13.4
5.9;12.8;13.7
5.8;19;20.2
5.8;18.7;19.9
5.9;17.8;18.9
5.9;17.7;18.8
5.9;18;19.1
5.8;18;19.1
5.8;17.7;18.8
5.6;17.1;18.2
5.7;16.8;17.9
5.7;16.7;17.8
5.7;16.7;17.8
5.8;16.7;17.8
5.8;16.7;17.8
5.7;16.6;17.7
5.6;16.4;17.5
5.5;16.7;17.8
5.4;16.9;18
5.3;16.8;17.9
5.4;17.1;18.2
5.5;16.9;18
5.5;17;18.1
5.4;17.1;18.2
5.4;17;18.1
5.4;16.9;18
5.4;17.3;18.4
5.4;17.2;18.3
5.4;17.6;18.7
5.2;17.6;18.7
5.5;17.5;18.6
5.6;17.4;18.5
5.5;17.1;18.2
5.4;10.9;11.7
5.3;10.9;11.7
5.3;10.8;11.6
5.3;10.6;11.4
5.3;10.5;11.3
5.3;10.7;11.5
5.2;11.1;11.9
5.2;11.1;11.9
5.3;11.2;12
5.3;11;11.8
5.4;11;11.8
5.2;10.9;11.7
5.2;10.7;11.5
5.2;10.7;11.5
5.2;10.6;11.4
5.3;10.7;11.5
5.2;10.7;11.5
5.2;10.6;11.4
5.2;10.8;11.6
5.3;11.5;12.4
5.3;11.4;12.3
5.4;11.7;12.6
5.4;16.6;17.7
5.2;16.3;17.4
5.2;16.4;17.5
5.2;15.9;17
5.2;15.5;16.6
5.1;15.5;16.6
5.1;15.8;16.9
5;16.1;17.2
5;15.9;17
4.9;15.9;17
4.9;15.9;17
5;16.2;17.3
4.9;16.2;17.3
4.9;16;17.1
4.9;15.9;17
5;16.1;17.2
5;15.8;16.9
5;16.5;17.7
5;16.5;17.7
5;16.5;17.7
5;16.5;17.7
4.8;16.8;18
4.8;17.2;18.4
4.8;21.2;22.8
4.8;21.2;22.8
